#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
1560000110937764352,0.00020103955496794668,0.03611924356898166,0.005145348004633898,0.13602833826913882,9.739542710667033,-0.3825142344940844
1560000110947787264,0.0023224281909827726,0.0350560353485041,0.0030303169296039267,0.12391173951556815,9.746946719234984,-0.3948062223875438
1560000110957810176,-0.0008596547630394663,0.04781451168635931,-0.00014222933624614964,0.11179502963870372,9.746946719234984,-0.40709832155462305
1560000110967832832,0.003383122624902535,0.04887771990683687,-0.001199744758196175,0.11884344401293294,9.746946719234984,-0.4291106014844517
1560000110977856000,0.00020103955496794668,0.058446575301238646,0.004087832467118913,0.12864987776019277,9.746946719234984,-0.4536943615778607
1560000110987878656,0.003383122624902535,0.05525695807576447,0.004087832467118913,0.12864987776019277,9.746946719234984,-0.47827726338972726
1560000110997901568,0.0023224281909827726,0.05632016257826278,0.0019728016232188617,0.1429579013343561,9.754125859949296,-0.48108839395177394
1560000111007924480,0.00020103955496794668,0.06269940074719038,0.0019728016232188617,0.16719023567624042,9.76628458593789,-0.468796823795937
1560000111017947392,-0.0019203490810468793,0.06269940074719038,-0.0022572601801462006,0.16742714638806788,9.766403457375873,-0.48084751077737004
1560000111027970048,-0.0008596547630394663,0.06695222619314212,-0.00014222933624614964,0.17687477011567612,9.761663053742076,-0.483553776257856
1560000111037992960,0.0012617339888877088,0.07014184341861629,0.004087832467118913,0.20110566840650176,9.749505050669587,-0.4712629369165833
1560000111048015872,0.00020103955496794668,0.07439466886456803,0.0030303169296039267,0.19663807170581013,9.737347240959945,-0.46867665358889
1560000111058038784,-0.0008596547630394663,0.07971070253099732,-0.00014222933624614964,0.18910928806963886,9.72979238582462,-0.46402326978180475
1560000111068061952,0.0023224281909827726,0.07864749431051976,-0.003314775602096226,0.2012251984224302,9.741950252482942,-0.4394406792754133
1560000111078084608,0.0012617339888877088,0.08183711897195245,-0.00014222933624614964,0.17765711929549702,9.739785182719588,-0.44381834066174486
1560000111088107264,0.0012617339888877088,0.0850267287614681,-0.0022572601801462006,0.1291928783192068,9.727627171572095,-0.4684012233179195
1560000111098130176,0.0023224281909827726,0.09140597064837497,-0.004372291139611212,0.11666945636398127,9.727490951408186,-0.4929843672946313
1560000111108153088,0.0012617339888877088,0.09565878865836819,-0.005429806445996277,0.10457099677731474,9.732197434354765,-0.5127734269299367
1560000111118237184,0.003383122624902535,0.0935323870893301,-0.00014222933624614964,0.09242661273350491,9.74438386855792,-0.525093603247391
1560000111128259840,-0.0008596547630394663,0.09778520509932331,-0.003314775602096226,0.0898726053552732,9.756532927922544,-0.5276845803691934
1560000111138283008,0.0012617339888877088,0.10735405677574583,-0.001199744758196175,0.08759158933145439,9.766403457375873,-0.5253705464290839
1560000111148305920,0.0012617339888877088,0.10203803054527505,-0.0022572601801462006,0.07547488063480055,9.766403457375873,-0.5130784472620047
1560000111158328576,0.0012617339888877088,0.10203803054527505,-0.001199744758196175,0.06335877792619296,9.75210337751303,-0.5007869515896589
1560000111168351744,0.0023224281909827726,0.10097482232479749,-0.0022572601801462006,0.051242321362519966,9.727785953460206,-0.48849508904888994
